Whistle-blower;Word;Count;Percentage
Haugen;va-j-j;0;0,00%
Haugen;vaginal;0;0,00%
Haugen;vajayjay;0;0,00%
Haugen;virginbreaker;0;0,00%
Haugen;vjayjay;0;0,00%
Haugen;wanker;0;0,00%
Haugen;wankjob;0;0,00%
Haugen;wetspot;0;0,00%
Haugen;whorefucker;0;0,00%
Haugen;williewanker;0;0,00%
Zatko;fu;128;4,42%
Zatko;chin;81;2,80%
Zatko;cum;32;1,10%
Zatko;uck;26;0,90%
Zatko;butt;23;0,79%
Zatko;fear;12;0,41%
Zatko;destroy;11;0,38%
Zatko;porn;4;0,14%
Zatko;vag;3;0,10%
Zatko;Dix;1;0,03%
Zatko;fuck;1;0,03%
Zatko;fuck;1;0,03%
Zatko;fucking;1;0,03%
Zatko;harem;1;0,03%
Zatko;kum;1;0,03%
Zatko;motherfucking;1;0,03%
Zatko;rape;1;0,03%
Zatko;wank;1;0,03%
Zatko;wank;1;0,03%
Zatko;amateur;0;0,00%
Zatko;AnalAnnie;0;0,00%
Zatko;Angie;0;0,00%
Zatko;Aroused;0;0,00%
Zatko;assblaster;0;0,00%
Zatko;ass cowboy;0;0,00%
Zatko;ass jacker;0;0,00%
Zatko;AssMan;0;0,00%
Zatko;assranger;0;0,00%
Zatko;ass whore;0;0,00%
Zatko;Ass-assinate;0;0,00%
Zatko;ass-jabber;0;0,00%
Zatko;ass-pirate;0;0,00%
Zatko;assbandit;0;0,00%
Zatko;assbanger;0;0,00%
Zatko;assfuck;0;0,00%
Zatko;assfucker;0;0,00%
Zatko;asshopper;0;0,00%
Zatko;assklown;0;0,00%
Zatko;asslick;0;0,00%
Zatko;asslicker;0;0,00%
Zatko;asspacker;0;0,00%
Zatko;asspuppy;0;0,00%
Zatko;asssucker;0;0,00%
Zatko;backdoor;0;0,00%
Zatko;backdoor man;0;0,00%
Zatko;Bad Fuck;0;0,00%
Zatko;Ball licker;0;0,00%
Zatko;Balls;0;0,00%
Zatko;banging;0;0,00%
Zatko;bastard;0;0,00%
Zatko;bastard;0;0,00%
Zatko;beastiality;0;0,00%
Zatko;beaver;0;0,00%
Zatko;big butt;0;0,00%
Zatko;bitch ass;0;0,00%
Zatko;bitcher;0;0,00%
Zatko;bitchtits;0;0,00%
Zatko;bite me;0;0,00%
Zatko;Blowjob;0;0,00%
Zatko;blowjob;0;0,00%
Zatko;BOMD;0;0,00%
Zatko;boobies;0;0,00%
Zatko;boobs;0;0,00%
Zatko;BOONGA;0;0,00%
Zatko;brea5t;0;0,00%
Zatko;Breast Job;0;0,00%
Zatko;Breast Man;0;0,00%
Zatko;brothel;0;0,00%
Zatko;brotherfucker;0;0,00%
Zatko;buggery;0;0,00%
Zatko;bulldike;0;0,00%
Zatko;bulldyke;0;0,00%
Zatko;bumblefuck;0;0,00%
Zatko;bunga;0;0,00%
Zatko;Bunghole;0;0,00%
Zatko;ButchDyke;0;0,00%
Zatko;butt fucker;0;0,00%
Zatko;butt pirate;0;0,00%
Zatko;buttbang;0;0,00%
Zatko;Buttfuck;0;0,00%
Zatko;buttfucka;0;0,00%
Zatko;butthead;0;0,00%
Zatko;buttpirate;0;0,00%
Zatko;byatch;0;0,00%
Zatko;carpet muncher ;0;0,00%
Zatko;cherry popper;0;0,00%
Zatko;Chode;0;0,00%
Zatko;Clam digger;0;0,00%
Zatko;Clit;0;0,00%
Zatko;clitfuck;0;0,00%
Zatko;cock;0;0,00%
Zatko;cock block;0;0,00%
Zatko;cock cowboy;0;0,00%
Zatko;cock fight;0;0,00%
Zatko;cock jockey;0;0,00%
Zatko;Cock knob;0;0,00%
Zatko;Cock Licker;0;0,00%
Zatko;Cock Smoke;0;0,00%
Zatko;cock suck;0;0,00%
Zatko;cock tease;0;0,00%
Zatko;cockblocker;0;0,00%
Zatko;Cockhead;0;0,00%
Zatko;cockmaster;0;0,00%
Zatko;cockmongler;0;0,00%
Zatko;cockmuncher;0;0,00%
Zatko;Cocknugget;0;0,00%
Zatko;Cockqueen;0;0,00%
Zatko;cockrider;0;0,00%
Zatko;cocksman;0;0,00%
Zatko;cocksmith;0;0,00%
Zatko;cocksmoker;0;0,00%
Zatko;cocksniffer;0;0,00%
Zatko;cocksucked;0;0,00%
Zatko;Cocksucker;0;0,00%
Zatko;Cocksucking;0;0,00%
Zatko;coochie;0;0,00%
Zatko;coochy;0;0,00%
Zatko;coondog;0;0,00%
Zatko;cornhole;0;0,00%
Zatko;crotchrot;0;0,00%
Zatko;cum bubble;0;0,00%
Zatko;cum guzzler;0;0,00%
Zatko;Cum jockey;0;0,00%
Zatko;cum tart;0;0,00%
Zatko;cumdumpster;0;0,00%
Zatko;cummer;0;0,00%
Zatko;cumming;0;0,00%
Zatko;Cumqueen;0;0,00%
Zatko;cumshot;0;0,00%
Zatko;cunilingus;0;0,00%
Zatko;cunnilingus;0;0,00%
Zatko;cunt ;0;0,00%
Zatko;cunt rag;0;0,00%
Zatko;Cuntass;0;0,00%
Zatko;cuntfuck;0;0,00%
Zatko;cuntfucker;0;0,00%
Zatko;cunthole;0;0,00%
Zatko;cuntlick;0;0,00%
Zatko;cuntlicker;0;0,00%
Zatko;cuntlicking;0;0,00%
Zatko;deepthroat ;0;0,00%
Zatko;dick beaters;0;0,00%
Zatko;Dick for brains;0;0,00%
Zatko;Dick Licker ;0;0,00%
Zatko;dick weasel;0;0,00%
Zatko;dick wod;0;0,00%
Zatko;Dickbag;0;0,00%
Zatko;Dickfuck;0;0,00%
Zatko;dickfucker;0;0,00%
Zatko;dicklick;0;0,00%
Zatko;dickman;0;0,00%
Zatko;dickmonger;0;0,00%
Zatko;dickslap;0;0,00%
Zatko;dicksucker;0;0,00%
Zatko;dicksucking;0;0,00%
Zatko;dicktickler;0;0,00%
Zatko;dipstick;0;0,00%
Zatko;doggystyle;0;0,00%
Zatko;dyke;0;0,00%
Zatko;eat me;0;0,00%
Zatko;eat pussy;0;0,00%
Zatko;Ejaculate;0;0,00%
Zatko;ejaculating;0;0,00%
Zatko;enema;0;0,00%
Zatko;erection;0;0,00%
Zatko;escort;0;0,00%
Zatko;Fagfucker;0;0,00%
Zatko;faggot;0;0,00%
Zatko;fagot;0;0,00%
Zatko;fanny fucker;0;0,00%
Zatko;fastfuck;0;0,00%
Zatko;felatio;0;0,00%
Zatko;Felch;0;0,00%
Zatko;felcher;0;0,00%
Zatko;felching;0;0,00%
Zatko;fellatio;0;0,00%
Zatko;Feltcher;0;0,00%
Zatko;feltching;0;0,00%
Zatko;finger fuck;0;0,00%
Zatko;finger fucker;0;0,00%
Zatko;fingerfuckers;0;0,00%
Zatko;fingerfucking;0;0,00%
Zatko;fist fuck;0;0,00%
Zatko;fist fucked;0;0,00%
Zatko;fistfucker;0;0,00%
Zatko;fistfucking;0;0,00%
Zatko;fisting;0;0,00%
Zatko;Flange;0;0,00%
Zatko;foot fuck;0;0,00%
Zatko;footfucker;0;0,00%
Zatko;Foursome;0;0,00%
Zatko;free fuck;0;0,00%
Zatko;fucka;0;0,00%
Zatko;fuckable;0;0,00%
Zatko;fuckass;0;0,00%
Zatko;fuckbag;0;0,00%
Zatko;fuckboy;0;0,00%
Zatko;fuckbrain;0;0,00%
Zatko;fuckbuddy;0;0,00%
Zatko;fucked;0;0,00%
Zatko;fucker;0;0,00%
Zatko;fuckers;0;0,00%
Zatko;fuckersucker;0;0,00%
Zatko;fuckface;0;0,00%
Zatko;fuckfest;0;0,00%
Zatko;fuckfreak;0;0,00%
Zatko;fuckfriend;0;0,00%
Zatko;fuckhead;0;0,00%
Zatko;fuckher;0;0,00%
Zatko;fuckina;0;0,00%
Zatko;fuckingbitch;0;0,00%
Zatko;fuckit;0;0,00%
Zatko;fuckknob;0;0,00%
Zatko;fuckme;0;0,00%
Zatko;fuckmehard;0;0,00%
Zatko;fuckmonkey;0;0,00%
Zatko;fuckpig;0;0,00%
Zatko;fucktard;0;0,00%
Zatko;fuckup;0;0,00%
Zatko;fuckwhore;0;0,00%
Zatko;fuckyou;0;0,00%
Zatko;fudge packer;0;0,00%
Zatko;Fugly;0;0,00%
Zatko;Funfuck;0;0,00%
Zatko;gangbang;0;0,00%
Zatko;gangbanger ;0;0,00%
Zatko;gayass;0;0,00%
Zatko;gaybob;0;0,00%
Zatko;gaydo;0;0,00%
Zatko;gayfuck;0;0,00%
Zatko;gayfuckist;0;0,00%
Zatko;gaylord;0;0,00%
Zatko;gaytard;0;0,00%
Zatko;gaywad;0;0,00%
Zatko;genitals;0;0,00%
Zatko;give head;0;0,00%
Zatko;Glazed donut;0;0,00%
Zatko;goddamn;0;0,00%
Zatko;goldenshower;0;0,00%
Zatko;gooch;0;0,00%
Zatko;handjob;0;0,00%
Zatko;harder;0;0,00%
Zatko;headfuck;0;0,00%
Zatko;Henig;0;0,00%
Zatko;heterosexual ;0;0,00%
Zatko;homo;0;0,00%
Zatko;homosexual ;0;0,00%
Zatko;hose job;0;0,00%
Zatko;hotpussy;0;0,00%
Zatko;humping;0;0,00%
Zatko;hussy;0;0,00%
Zatko;hymen;0;0,00%
Zatko;incest;0;0,00%
Zatko;insest;0;0,00%
Zatko;intheass;0;0,00%
Zatko;inthebuff;0;0,00%
Zatko;jiggabo;0;0,00%
Zatko;jism;0;0,00%
Zatko;jiz ;0;0,00%
Zatko;jizim;0;0,00%
Zatko;jizjuice;0;0,00%
Zatko;jizm ;0;0,00%
Zatko;jizzim;0;0,00%
Zatko;jizzum;0;0,00%
Zatko;jugs;0;0,00%
Zatko;kaffer;0;0,00%
Zatko;kaffir;0;0,00%
Zatko;kaffre;0;0,00%
Zatko;kanake;0;0,00%
Zatko;kinky;0;0,00%
Zatko;kissass;0;0,00%
Zatko;kondum;0;0,00%
Zatko;kooch;0;0,00%
Zatko;kootch;0;0,00%
Zatko;kunilingus;0;0,00%
Zatko;kunnilingus;0;0,00%
Zatko;kunt;0;0,00%
Zatko;lam diver;0;0,00%
Zatko;lapdance;0;0,00%
Zatko;lesbain;0;0,00%
Zatko;lesbayn;0;0,00%
Zatko;lesbin;0;0,00%
Zatko;lez;0;0,00%
Zatko;lezbe;0;0,00%
Zatko;lezbefriends;0;0,00%
Zatko;lezbo;0;0,00%
Zatko;lezz;0;0,00%
Zatko;lezzie;0;0,00%
Zatko;lezzo;0;0,00%
Zatko;libido;0;0,00%
Zatko;limpdick;0;0,00%
Zatko;livesex;0;0,00%
Zatko;loadedgun;0;0,00%
Zatko;lolita;0;0,00%
Zatko;lovebone;0;0,00%
Zatko;lovejuice;0;0,00%
Zatko;lovemuscle;0;0,00%
Zatko;lubejob;0;0,00%
Zatko;mastabate;0;0,00%
Zatko;mastabater;0;0,00%
Zatko;masterbate;0;0,00%
Zatko;masterblaster;0;0,00%
Zatko;mastrabator;0;0,00%
Zatko;masturbate;0;0,00%
Zatko;masturbating;0;0,00%
Zatko;milf;0;0,00%
Zatko;minge;0;0,00%
Zatko;molest;0;0,00%
Zatko;molestation;0;0,00%
Zatko;molester;0;0,00%
Zatko;molestor;0;0,00%
Zatko;moneyshot;0;0,00%
Zatko;mothafucka;0;0,00%
Zatko;mothafuckin;0;0,00%
Zatko;motherfucker;0;0,00%
Zatko;muffdive;0;0,00%
Zatko;muffindiver;0;0,00%
Zatko;mufflikcer;0;0,00%
Zatko;nipple;0;0,00%
Zatko;nittit;0;0,00%
Zatko;nook;0;0,00%
Zatko;nookey;0;0,00%
Zatko;nookie;0;0,00%
Zatko;nooner;0;0,00%
Zatko;nude;0;0,00%
Zatko;nutsack;0;0,00%
Zatko;orgasim ;0;0,00%
Zatko;orgasm;0;0,00%
Zatko;panooch;0;0,00%
Zatko;pearlnecklace;0;0,00%
Zatko;pecker;0;0,00%
Zatko;peehole;0;0,00%
Zatko;peni5;0;0,00%
Zatko;penile;0;0,00%
Zatko;penis;0;0,00%
Zatko;penisbanger;0;0,00%
Zatko;penises;0;0,00%
Zatko;penisfucker;0;0,00%
Zatko;penispuffer;0;0,00%
Zatko;phonesex;0;0,00%
Zatko;pindick;0;0,00%
Zatko;pissflaps;0;0,00%
Zatko;playboy;0;0,00%
Zatko;playgirl;0;0,00%
Zatko;polesmoker;0;0,00%
Zatko;poon;0;0,00%
Zatko;poonani;0;0,00%
Zatko;poontang;0;0,00%
Zatko;pornflick;0;0,00%
Zatko;pornking;0;0,00%
Zatko;porno;0;0,00%
Zatko;pornography;0;0,00%
Zatko;pornprincess;0;0,00%
Zatko;prostitute;0;0,00%
Zatko;pu55i;0;0,00%
Zatko;pu55y;0;0,00%
Zatko;pube;0;0,00%
Zatko;pud;0;0,00%
Zatko;pudboy;0;0,00%
Zatko;pudd;0;0,00%
Zatko;puddboy;0;0,00%
Zatko;puntang;0;0,00%
Zatko;puss;0;0,00%
Zatko;pussie;0;0,00%
Zatko;pussies;0;0,00%
Zatko;pussycat;0;0,00%
Zatko;pussyeater;0;0,00%
Zatko;pussyfucker;0;0,00%
Zatko;pussylicker;0;0,00%
Zatko;pussylicking;0;0,00%
Zatko;pussylips;0;0,00%
Zatko;pussylover;0;0,00%
Zatko;pussypounder;0;0,00%
Zatko;pusy;0;0,00%
Zatko;queerhole;0;0,00%
Zatko;quim;0;0,00%
Zatko;raped;0;0,00%
Zatko;raper;0;0,00%
Zatko;rapist;0;0,00%
Zatko;rear entry;0;0,00%
Zatko;rentafuck;0;0,00%
Zatko;rimjob;0;0,00%
Zatko;rimjob;0;0,00%
Zatko;schlong;0;0,00%
Zatko;semen;0;0,00%
Zatko;short fuck;0;0,00%
Zatko;sixtynine;0;0,00%
Zatko;sixtyniner;0;0,00%
Zatko;skank;0;0,00%
Zatko;skank bitch;0;0,00%
Zatko;skank fuck;0;0,00%
Zatko;skank whore;0;0,00%
Zatko;skanky;0;0,00%
Zatko;skanky bitch;0;0,00%
Zatko;skanky whore;0;0,00%
Zatko;skin flute;0;0,00%
Zatko;skullfuck;0;0,00%
Zatko;slut wear;0;0,00%
Zatko;slut whore;0;0,00%
Zatko;slutbag;0;0,00%
Zatko;sluts;0;0,00%
Zatko;slutt;0;0,00%
Zatko;slutting;0;0,00%
Zatko;slutty;0;0,00%
Zatko;slutwhore;0;0,00%
Zatko;snatch;0;0,00%
Zatko;sodom;0;0,00%
Zatko;sodomise;0;0,00%
Zatko;sodomite;0;0,00%
Zatko;sodomize;0;0,00%
Zatko;sodomy;0;0,00%
Zatko;spank the monkey;0;0,00%
Zatko;spermbag;0;0,00%
Zatko;spermhearder;0;0,00%
Zatko;spermherder;0;0,00%
Zatko;spooge;0;0,00%
Zatko;stiffy;0;0,00%
Zatko;suck;0;0,00%
Zatko;suckdick;0;0,00%
Zatko;suckme;0;0,00%
Zatko;suckmytit;0;0,00%
Zatko;testicles;0;0,00%
Zatko;titbitnipply;0;0,00%
Zatko;titfucker;0;0,00%
Zatko;titfuckin;0;0,00%
Zatko;tittie;0;0,00%
Zatko;titties;0;0,00%
Zatko;titty;0;0,00%
Zatko;tittyfuck;0;0,00%
Zatko;transexual;0;0,00%
Zatko;transsexual;0;0,00%
Zatko;transvestite;0;0,00%
Zatko;trisexual;0;0,00%
Zatko;twat;0;0,00%
Zatko;twat;0;0,00%
Zatko;twatwaffle;0;0,00%
Zatko;twobitwhore;0;0,00%
Zatko;unclefucker;0;0,00%
Zatko;unfuckable;0;0,00%
Zatko;uptheass;0;0,00%
Zatko;va-j-j;0;0,00%
Zatko;vaginal;0;0,00%
Zatko;vajayjay;0;0,00%
Zatko;virginbreaker;0;0,00%
Zatko;vjayjay;0;0,00%
Zatko;wanker;0;0,00%
Zatko;wanking;0;0,00%
Zatko;wankjob;0;0,00%
Zatko;wetspot;0;0,00%
Zatko;whore;0;0,00%
Zatko;whorefucker;0;0,00%
Zatko;williewanker;0;0,00%